,rank,year,contract_start,contract_end,contract_length,age,games,war,league_r,bats_r,throws_r,team_sr,team_pr,position_r,ts_mil,as_mil,clusters,cluster
436,83,2010,2008,2014,7,31,157,4.0,0,0,0,28,28,7,126.0,15.6875,2,purple
437,83,2011,2008,2014,7,32,131,-0.5,0,0,0,28,12,7,126.0,26.1875,2,purple
438,83,2012,2008,2014,7,33,77,0.5,0,0,0,28,12,7,126.0,21.0,2,purple
439,83,2013,2008,2014,7,34,130,-0.1,0,0,0,28,18,7,126.0,21.0,2,purple
440,83,2018,2018,2023,6,31,8,-0.1,1,0,0,4,4,1,126.0,25.0,2,purple
441,83,2019,2018,2023,6,32,31,3.0,1,0,0,4,4,1,126.0,20.0,2,purple
442,83,2020,2018,2023,6,33,12,2.8,1,0,0,4,4,1,126.0,22.0,2,purple
443,83,2021,2018,2023,6,34,30,1.4,1,0,0,4,22,1,126.0,19.0,2,purple
444,83,2022,2018,2023,6,35,30,4.4,1,0,0,4,22,1,126.0,0.0,2,purple
445,83,2023,2018,2023,6,36,22,1.1,1,0,0,4,22,1,126.0,25.0,2,purple
446,87,2012,2012,2016,5,32,71,-1.2,1,1,1,20,20,3,125.0,20.0,2,purple
447,87,2013,2012,2016,5,33,80,0.5,1,1,1,20,20,4,125.0,20.0,2,purple
448,87,2015,2012,2016,5,35,129,-1.6,1,1,1,20,20,3,125.0,25.0,2,purple
449,87,2016,2012,2016,5,36,112,-1.2,1,1,1,20,20,3,125.0,25.0,2,purple
450,88,2012,2012,2017,5,31,28,3.4,0,1,1,18,18,1,122.0,23.0,2,purple
451,88,2013,2012,2017,5,32,32,0.0,0,1,1,18,18,1,122.0,23.0,2,purple
452,88,2014,2012,2017,5,33,8,-0.6,0,1,1,18,18,1,122.0,23.0,2,purple
453,88,2015,2012,2017,5,34,29,1.1,0,1,1,18,18,1,122.0,23.0,2,purple
454,88,2016,2012,2017,5,35,30,3.1,0,1,1,18,18,1,122.0,25.0,2,purple
455,88,2017,2012,2017,5,36,27,2.8,0,1,1,18,18,1,122.0,25.0,2,purple
456,89,2001,2001,2008,8,28,32,0.3,1,0,1,8,8,1,121.0,10.5,2,purple
457,89,2002,2001,2008,8,29,30,-1.9,1,0,1,8,8,1,121.0,9.503543,2,purple
458,89,2003,2001,2008,8,30,31,1.9,1,0,1,8,1,1,121.0,13.625,2,purple
459,89,2004,2001,2008,8,31,29,1.4,1,0,1,8,1,1,121.0,14.625,2,purple
460,89,2005,2001,2008,8,32,12,1.1,1,0,1,8,1,1,121.0,15.125,2,purple
461,89,2008,2001,2008,8,35,13,0.1,1,0,1,8,1,1,121.0,15.975184,2,purple
462,90,2023,2019,2026,6,30,113,2.8,1,0,0,3,22,6,120.0,25.454545,2,purple
463,90,2011,2011,2015,5,32,32,8.5,1,1,1,20,20,1,120.0,11.0,2,purple
464,90,2012,2011,2015,5,33,30,4.4,1,1,1,20,20,1,120.0,21.5,2,purple
465,90,2013,2011,2015,5,34,31,6.6,1,1,1,20,20,1,120.0,25.0,2,purple
466,90,2014,2011,2015,5,35,13,0.8,1,1,1,20,20,1,120.0,25.0,2,purple
467,90,2015,2015,2023,8,26,160,1.8,0,0,0,27,27,6,120.0,15.0,2,purple
468,90,2016,2015,2023,8,27,147,2.9,0,0,0,27,27,6,120.0,15.0,2,purple
469,90,2017,2015,2023,8,28,158,5.4,0,0,0,27,27,6,120.0,15.0,2,purple
470,90,2018,2015,2023,8,29,97,1.7,0,0,0,27,27,6,120.0,15.25,2,purple
471,90,2019,2015,2023,8,30,147,1.5,0,0,0,27,27,6,120.0,15.25,2,purple
472,90,2020,2015,2023,8,31,29,-0.4,0,0,0,27,27,6,120.0,15.25,2,purple
473,90,2021,2015,2023,8,32,146,0.6,0,0,0,27,19,6,120.0,14.25,2,purple
474,90,2022,2015,2023,8,33,106,1.3,0,0,0,27,19,6,120.0,14.25,2,purple
